1	0	2	 1.000640	 0.500320
2	1	2	 0.999564	 0.499782
3	2	2	 0.999714	 0.499857
4	3	2	 0.999989	 0.499994
5	4	2	 0.999623	 0.499811
6	5	0	 0.000000	 0.000000
7	6	2	 0.999622	 0.499811
8	7	0	 0.000000	 0.000000
9	8	2	 0.999634	 0.499817
10	9	2	 0.999638	 0.499819
11	10	1	 0.500178	 0.500178
12	11	2	 0.999648	 0.499824
13	12	2	 1.000177	 0.500089
14	13	2	 0.999918	 0.499959
15	14	2	 0.999821	 0.499911
16	15	2	 0.999314	 0.499657
17	16	2	 0.999670	 0.499835
18	17	2	 0.999528	 0.499764
19	18	2	 0.999531	 0.499765
20	19	2	 0.999639	 0.499819
21	20	2	 0.999528	 0.499764
22	21	2	 0.999677	 0.499838
23	22	1	 0.499854	 0.499854
24	23	2	 0.999682	 0.499841
25	24	0	 0.000000	 0.000000
26	25	2	 0.999664	 0.499832
27	26	2	 0.999506	 0.499753
28	27	0	 0.000000	 0.000000
29	28	2	 1.000069	 0.500034
30	29	2	 0.999764	 0.499882
31	30	2	 0.999657	 0.499829
32	31	2	 0.999762	 0.499881
33	32	2	 1.000176	 0.500088
34	33	2	 0.999995	 0.499997
35	34	2	 0.999654	 0.499827
36	35	1	 0.499846	 0.499846
37	36	2	 0.999543	 0.499772
38	37	2	 0.999491	 0.499746
39	38	0	 0.000000	 0.000000
40	39	2	 1.000182	 0.500091
41	40	2	 0.999651	 0.499826
42	41	0	 0.000000	 0.000000
43	42	0	 0.000000	 0.000000
44	43	2	 0.999543	 0.499771
45	44	2	 0.999916	 0.499958
46	45	1	 0.500175	 0.500175
47	46	2	 0.999811	 0.499906
48	47	1	 0.499841	 0.499841
49	48	1	 0.500183	 0.500183
50	49	2	 0.999645	 0.499822
51	50	2	 0.999909	 0.499955
52	51	1	 0.500186	 0.500186
53	52	2	 1.000188	 0.500094
54	53	2	 0.999589	 0.499795
55	54	2	 0.999593	 0.499797
56	55	2	 0.999656	 0.499828
57	56	2	 0.999522	 0.499761
58	57	2	 0.999811	 0.499905
59	58	0	 0.000000	 0.000000
60	59	2	 0.999238	 0.499619
61	60	2	 0.999631	 0.499816
62	61	2	 0.999808	 0.499904
63	62	2	 0.999651	 0.499825
64	63	0	 0.000000	 0.000000
65	64	0	 0.000000	 0.000000
66	65	2	 0.999229	 0.499614
67	66	2	 0.999993	 0.499996
68	67	2	 0.999627	 0.499814
69	68	0	 0.000000	 0.000000
70	69	2	 0.999911	 0.499955
71	70	0	 0.000000	 0.000000
72	71	2	 0.999226	 0.499613
73	72	2	 0.999509	 0.499754
74	73	2	 0.999623	 0.499811
75	74	2	 0.999992	 0.499996
76	75	0	 0.000000	 0.000000
77	76	2	 0.999800	 0.499900
78	77	2	 0.999570	 0.499785
79	78	1	 0.500191	 0.500191
80	79	2	 0.999495	 0.499747
81	80	2	 0.999436	 0.499718
82	81	2	 0.999620	 0.499810
83	82	1	 0.500194	 0.500194
84	83	2	 0.999573	 0.499786
85	84	2	 0.999574	 0.499787
86	85	2	 1.000616	 0.500308
87	86	2	 0.999438	 0.499719
88	87	1	 0.500192	 0.500192
89	88	2	 0.999573	 0.499787
90	89	1	 0.499830	 0.499830
91	90	2	 0.999632	 0.499816
92	91	0	 0.000000	 0.000000
93	92	0	 0.000000	 0.000000
94	93	2	 0.999910	 0.499955
